Les livres Jean je sais bien qu' elle en a volé beaucoup .	The Jean books I know she stole a lot.
Des livres . Jean , je sais bien qu' elle a eu on a volé beaucoup .	Books.  Jean, I know she had a lot of robbery.
Je lui ai donné le livre à Luc .	I gave Luke the book to him.
Je lui ai donné le livre à Luc .	I gave Luke the book to him.
Ça avait bien qu' elle était lourde à porter la valise .	It was obvious that she was heavy to carry the suitcase.
Il savait bien qu' elle était lourde avait aparté la valise .	He knew it was heavy and had parked the suitcase.
Apple cette histoire Marie le lui a bien raconté . Apple cette histoire Marie le lui a bien raconté .	Apple this story Mary told him well.  Apple this story Mary told him well.
Cette histoire Apple Marie là lui a bien raconté .	That Apple Marie story there told him well.
Cette histoire un peu Marie là lui a bien raconté .	This story a little Marie there told him well.
Je sais où Paul est allé .	I know where Paul went.
Je sais où Paul il est allé .	I know where Paul went.
Je sais Paul où il est allé .	I know Paul where he went.
Je sais Paul où il est allé .	I know Paul where he went.
Je vais demander cet homme là ah qu' il avait l' intention de les vendre .	I'm going to ask that man there because he intended to sell them.
J' allumé demander ces là qu' il avait l' intention de les vendre .	I switched on to ask for these that he intended to sell them.
Je lui ai demandé à qui . Cet homme là il avait l' intention de les vendre .	I asked him who.  That man there, he intended to sell them.
Je lui ai demandé à qui ses pommes là . Il avait l' intention de les vendre .	I asked him who his apples were from.  He intended to sell them.
Je lui ai demandé cet homme là où il les avait trouvé .	I asked him this man where he found them.
Je lui ai demandé ces pommes là où il les avait trouvé .	I asked him for these apples where he found them.
